Region,Gender,General Under 12 Years,General 12-Under 15 Years,General 15-Under 18 Years,Indigenous Under 12 Years,Indigenous 12-Under 15 Years,Indigenous 15-Under 18 Years,Year
Changhua County,Male,-,4,10,-,-,-,2019
Changhua County,Female,3,27,33,-,-,-,2019
Nantou County,Male,-,5,1,-,-,-,2019
Nantou County,Female,1,11,8,1,1,1,2019
Yunlin County,Male,-,2,-,-,-,-,2019
Yunlin County,Female,1,5,18,-,-,-,2019
Chiayi County,Male,-,3,-,-,-,-,2019
Chiayi County,Female,-,6,8,-,-,1,2019
Pingtung County,Male,-,9,4,-,5,-,2019
Pingtung County,Female,1,5,14,1,2,1,2019
Taitung County,Male,-,9,-,-,2,1,2019
Taitung County,Female,1,2,2,-,1,1,2019
Hualien County,Male,-,5,1,-,2,2,2019
Hualien County,Female,2,9,2,1,1,5,2019
Penghu County,Male,-,-,-,-,-,-,2019
Penghu County,Female,-,-,1,-,-,-,2019
Keelung City,Male,1,5,1,-,-,-,2019
Keelung City,Female,-,4,13,-,1,3,2019
Hsinchu City,Male,-,1,2,-,-,-,2019
Hsinchu City,Female,3,8,13,-,-,-,2019
Chiayi City,Male,-,2,-,-,-,-,2019
Chiayi City,Female,1,4,5,-,-,-,2019
Kinmen County,Male,-,1,-,-,-,-,2019
Kinmen County,Female,-,2,-,-,-,-,2019
Lienchiang County,Male,-,-,-,-,-,-,2019
Lienchiang County,Female,-,-,-,-,-,-,2019
New Taipei City,Male,3,2,9,-,-,-,2018
New Taipei City,Female,4,63,100,-,4,9,2018
Taipei City,Male,-,3,1,-,-,-,2018
Taipei City,Female,3,11,38,1,1,3,2018
Taoyuan City,Male,4,9,10,-,-,-,2018
Taoyuan City,Female,8,41,45,-,-,1,2018
Taichung City,Male,-,1,1,-,-,1,2018
Taichung City,Female,2,27,34,-,-,1,2018
Tainan City,Male,1,-,5,-,-,-,2018
Tainan City,Female,4,16,16,-,2,-,2018
Kaohsiung City,Male,1,6,4,-,-,-,2018
Kaohsiung City,Female,7,34,112,-,3,7,2018
Yilan County,Male,-,1,-,-,-,-,2018
Yilan County,Female,-,7,2,-,-,-,2018
Hsinchu County,Male,-,1,1,-,-,-,2018
Hsinchu County,Female,1,19,17,-,2,2,2018
Miaoli County,Male,-,-,-,-,-,-,2018
Miaoli County,Female,1,6,9,-,-,-,2018
Changhua County,Male,1,4,6,-,-,-,2018
Changhua County,Female,7,34,51,-,-,-,2018
Nantou County,Male,-,1,5,-,-,-,2018
Nantou County,Female,-,7,4,-,3,-,2018
Yunlin County,Male,-,2,1,-,-,1,2018
Yunlin County,Female,1,2,15,-,-,-,2018
Chiayi County,Male,-,3,2,-,-,-,2018
Chiayi County,Female,2,2,14,-,-,-,2018
Pingtung County,Male,-,3,-,-,1,-,2018
Pingtung County,Female,3,17,8,-,-,2,2018
Taitung County,Male,-,-,1,-,-,-,2018
Taitung County,Female,-,1,3,5,1,3,2018
Hualien County,Male,-,1,-,-,-,1,2018
Hualien County,Female,-,2,5,-,2,5,2018
Penghu County,Male,-,-,-,-,-,-,2018
Penghu County,Female,-,1,-,-,-,-,2018
Keelung City,Male,-,4,-,-,-,-,2018
Keelung City,Female,-,14,12,-,3,1,2018
Hsinchu City,Male,1,-,1,-,-,-,2018
Hsinchu City,Female,13,3,3,-,-,1,2018
Chiayi City,Male,1,-,-,-,-,-,2018
Chiayi City,Female,-,2,12,-,-,-,2018
Kinmen County,Male,-,-,1,-,-,-,2018
Kinmen County,Female,-,2,3,-,-,-,2018
Lienchiang County,Male,-,-,-,-,-,-,2018
Lienchiang County,Female,-,-,-,-,-,-,2018
New Taipei City,Male,1,3,7,-,-,-,2017
New Taipei City,Female,6,70,76,-,11,3,2017
Taipei City,Male,1,-,5,-,-,-,2017
Taipei City,Female,2,9,17,-,1,-,2017
Taoyuan City,Male,2,8,5,-,-,2,2017
Taoyuan City,Female,4,53,42,-,3,8,2017
Taichung City,Male,3,5,6,-,-,-,2017
Taichung City,Female,2,22,38,-,1,-,2017
Tainan City,Male,1,-,2,-,-,-,2017
Tainan City,Female,-,6,28,-,-,3,2017
Kaohsiung City,Male,2,13,8,-,-,1,2017
Kaohsiung City,Female,23,78,117,-,7,2,2017
Yilan County,Male,-,1,-,-,-,-,2017
