Region,Gender,General Under 12 Years,General 12-Under 15 Years,General 15-Under 18 Years,Indigenous Under 12 Years,Indigenous 12-Under 15 Years,Indigenous 15-Under 18 Years,Year
Yunlin County,Total,1,4,16,-,-,1,2018
,Male,-,2,1,-,-,1,2018
,Female,1,2,15,-,-,-,2018
Chiayi County,Total,2,5,16,-,-,-,2018
,Male,-,3,2,-,-,-,2018
,Female,2,2,14,-,-,-,2018
Pingtung County,Total,3,20,8,-,1,2,2018
,Male,-,3,-,-,1,-,2018
,Female,3,17,8,-,-,2,2018
Taitung County,Total,-,1,4,5,1,3,2018
,Male,-,-,1,-,-,-,2018
,Female,-,1,3,5,1,3,2018
Hualien County,Total,-,3,5,-,2,6,2018
,Male,-,1,-,-,-,1,2018
,Female,-,2,5,-,2,5,2018
Penghu County,Total,-,1,-,-,-,-,2018
,Male,-,-,-,-,-,-,2018
,Female,-,1,-,-,-,-,2018
Keelung City,Total,-,18,12,-,3,1,2018
,Male,-,4,-,-,-,-,2018
,Female,-,14,12,-,3,1,2018
Hsinchu City,Total,14,3,4,-,-,1,2018
,Male,1,-,1,-,-,-,2018
,Female,13,3,3,-,-,1,2018
Chiayi City,Total,1,2,12,-,-,-,2018
,Male,1,-,-,-,-,-,2018
,Female,-,2,12,-,-,-,2018
Kinmen County,Total,-,2,4,-,-,-,2018
,Male,-,-,1,-,-,-,2018
,Female,-,2,3,-,-,-,2018
Lienchiang County,Total,-,-,-,-,-,-,2018
,Male,-,-,-,-,-,-,2018
,Female,-,-,-,-,-,-,2018
Total,Total,58,406,520,1,32,30,2017
,Male,12,46,72,-,3,5,2017
,Female,46,360,448,1,29,25,2017
New Taipei City,Total,7,73,83,-,11,3,2017
,Male,1,3,7,-,-,-,2017
,Female,6,70,76,-,11,3,2017
Taipei City,Total,3,9,22,-,1,-,2017
,Male,1,-,5,-,-,-,2017
,Female,2,9,17,-,1,-,2017
Taoyuan City,Total,6,61,47,-,3,10,2017
,Male,2,8,5,-,-,2,2017
,Female,4,53,42,-,3,8,2017
Taichung City,Total,5,27,44,-,1,-,2017
,Male,3,5,6,-,-,-,2017
,Female,2,22,38,-,1,-,2017
Tainan City,Total,1,6,30,-,-,3,2017
,Male,1,-,2,-,-,-,2017
,Female,-,6,28,-,-,3,2017
Kaohsiung City,Total,25,91,125,-,7,3,2017
,Male,2,13,8,-,-,1,2017
,Female,23,78,117,-,7,2,2017
Yilan County,Total,3,17,8,-,-,-,2017
,Male,-,1,-,-,-,-,2017
,Female,3,16,8,-,-,-,2017
Hsinchu County,Total,-,10,7,1,1,1,2017
,Male,-,2,2,-,-,-,2017
,Female,-,8,5,1,1,1,2017
Miaoli County,Total,-,4,6,-,-,2,2017
,Male,-,2,-,-,-,-,2017
,Female,-,2,6,-,-,2,2017
Changhua County,Total,5,49,46,-,-,1,2017
,Male,2,2,5,-,-,-,2017
,Female,3,47,41,-,-,1,2017
Nantou County,Total,-,7,10,-,1,1,2017
,Male,-,1,1,-,1,-,2017
,Female,-,6,9,-,-,1,2017
Yunlin County,Total,-,9,33,-,-,-,2017
,Male,-,4,24,-,-,-,2017
,Female,-,5,9,-,-,-,2017
Chiayi County,Total,-,6,10,-,-,1,2017
,Male,-,-,-,-,-,1,2017
,Female,-,6,10,-,-,-,2017
Pingtung County,Total,2,9,14,-,2,1,2017
,Male,-,2,2,-,-,-,2017
,Female,2,7,12,-,2,1,2017
Taitung County,Total,1,1,6,-,2,1,2017
,Male,-,-,-,-,-,1,2017
,Female,1,1,6,-,2,-,2017
Hualien County,Total,-,-,-,-,-,-,2017
,Male,-,-,-,-,-,-,2017
,Female,-,-,-,-,-,-,2017
Penghu County,Total,-,-,-,-,-,-,2017
,Male,-,-,-,-,-,-,2017
,Female,-,-,-,-,-,-,2017
Keelung City,Total,-,14,13,-,1,-,2017
,Male,-,3,2,-,1,-,2017
,Female,-,11,11,-,-,-,2017
Hsinchu City,Total,-,11,6,-,2,1,2017
,Male,-,-,1,-,1,-,2017
,Female,-,11,5,-,1,1,2017
Chiayi City,Total,-,1,6,-,-,1,2017
,Male,-,-,1,-,-,-,2017
,Female,-,1,5,-,-,1,2017
Kinmen County,Total,-,1,4,-,-,1,2017
,Male,-,-,1,-,-,-,2017
,Female,-,1,3,-,-,1,2017
Lienchiang County,Total,-,-,-,-,-,-,2017
,Male,-,-,-,-,-,-,2017
,Female,-,-,-,-,-,-,2017
